,round,tube,sp,st,final_pop
96,0,3,8,"(0.0, 0.0, 0.0132952402022934, 0.0, 0.022638011874154935, 0.0, 0.0, 0.0, 0.1468354979680176, 0.21240828662903488)",2
97,0,3,8,"(0.0, 0.0, 0.022299972634904526, 0.0, 0.022638011874154935, 0.0, 0.0, 0.0, 0.10496992698505436, 0.21240828662903488)",1
98,0,3,8,"(0.0, 0.0, 0.013231450573795257, 0.0, 0.022638011874154935, 0.0, 0.0, 0.0, 0.10496992698505436, 0.1479562374174814)",1
99,0,3,8,"(0.0, 0.0, 0.0132952402022934, 0.0, 0.037605348606731655, 0.0, 0.0, 0.0, 0.0645986976914834, 0.21240828662903488)",1
100,0,3,8,"(0.0, 0.0, 0.0132952402022934, 0.0, 0.019591253504850987, 0.0, 0.0, 0.0, 0.10496992698505436, 0.09285791049484259)",1
101,0,3,8,"(0.0, 0.0, 0.0132952402022934, 0.0, 0.022638011874154935, 0.0, 0.0, 0.0, 0.10496992698505436, 0.21240828662903488)",415
102,0,3,8,"(0.0, 0.0, 0.0132952402022934, 0.0, 0.03487675919078815, 0.0, 0.0, 0.0, 0.10496992698505436, 0.18659966021831087)",1
103,0,3,8,"(0.0, 0.0, 0.0132952402022934, 0.0, 0.015503901576181034, 0.0, 0.0, 0.0, 0.10496992698505436, 0.21240828662903488)",1
104,0,3,8,"(0.0, 0.0, 0.00872301338192044, 0.0, 0.022638011874154935, 0.0, 0.0, 0.0, 0.10496992698505436, 0.14356025170414827)",1
105,0,3,9,"(0.0, 0.0, 0.26832887547764517, 0.0, 0.05513765495185503, 0.0, 0.17543471630791765, 0.16747238130610526, 0.0, 0.04169583562250932)",24
106,0,3,12,"(0.08395350898307596, 0.15057745842772827, 0.0, 0.027386891035283644, 0.046704754273107475, 0.0, 0.013681456804258765, 0.05902277796081331, 0.0, 0.0)",1
107,0,3,12,"(0.08395350898307596, 0.15057745842772827, 0.0, 0.027386891035283644, 0.06723230890268495, 0.0, 0.013681456804258765, 0.04377134538079039, 0.0, 0.0)",1
108,0,3,12,"(0.08395350898307596, 0.15057745842772827, 0.0, 0.027386891035283644, 0.05174931211177958, 0.0, 0.026502980118973167, 0.04377134538079039, 0.0, 0.0)",2
109,0,3,12,"(0.08395350898307596, 0.15057745842772827, 0.0, 0.027386891035283644, 0.046704754273107475, 0.0, 0.013681456804258765, 0.04377134538079039, 0.0, 0.0)",261
110,0,3,12,"(0.1269837932616541, 0.15057745842772827, 0.0, 0.027386891035283644, 0.046704754273107475, 0.0, 0.013681456804258765, 0.04377134538079039, 0.0, 0.0)",1
111,0,4,0,"(0.0, 0.09059708024140342, 0.10770163902136713, 0.0026417494411589476, 0.09487564939009988, 0.07860599818325885, 0.1234553286915525, 0.0, 0.0, 0.0)",38
112,0,4,1,"(0.0, 0.01819021681934756, 0.0, 0.024584807322582867, 0.0, 0.01498355219082073, 0.0, 0.0, 0.0154164923044359, 0.023187541493778534)",61
113,0,4,1,"(0.0, 0.01819021681934756, 0.0, 0.024584807322582867, 0.0, 0.016060391305019274, 0.0, 0.0, 0.011686606720155545, 0.023187541493778534)",1
114,0,4,2,"(0.0, 0.10609637873065447, 0.05497067501782922, 0.1658280540527044, 0.0651274896174571, 0.07251546538329634, 0.0, 0.0, 0.1654908027082088, 0.0)",12
115,0,4,3,"(0.21779408507465228, 0.0, 0.0, 0.16372898147507048, 0.0, 0.0, 0.0829461165449352, 0.201638498493558, 0.13829687168753102, 0.0)",9
116,0,4,4,"(0.6150534142155257, 0.0, 0.0, 0.05305371719279086, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19564515366205473)",4
117,0,4,5,"(0.06821915277273262, 0.03775482593710799, 0.0, 0.06339445944252166, 0.061481196520038466, 0.0, 0.05196530257504701, 0.0841018434912883, 0.0, 0.0)",18
118,0,4,6,"(0.0012716975662455379, 0.0016924335176991608, 0.0010961133300019929, 0.0017981103091741929, 0.0, 0.001664625277641753, 0.0013176573476436388, 0.0, 0.0009967762184583517, 0.0)",40
119,0,4,8,"(0.0, 0.0, 0.0132952402022934, 0.0, 0.022638011874154935, 0.0, 0.0, 0.0, 0.10496992698505436, 0.21831788850554862)",1
120,0,4,8,"(0.0, 0.0, 0.0132952402022934, 0.0, 0.022638011874154935, 0.0, 0.0, 0.0, 0.08027098427411641, 0.21240828662903488)",2
121,0,4,8,"(0.0, 0.0, 0.0132952402022934, 0.0, 0.022638011874154935, 0.0, 0.0, 0.0, 0.10496992698505436, 0.21240828662903488)",455
122,0,4,8,"(0.0, 0.0, 0.0132952402022934, 0.0, 0.022638011874154935, 0.0, 0.0, 0.0, 0.1251711538925414, 0.21240828662903488)",1
123,0,4,8,"(0.0, 0.0, 0.0132952402022934, 0.0, 0.022638011874154935, 0.0, 0.0, 0.0, 0.10496992698505436, 0.15780818869085855)",1
124,0,4,8,"(0.0, 0.0, 0.0132952402022934, 0.0, 0.022638011874154935, 0.0, 0.0, 0.0, 0.10496992698505436, 0.3327819478842907)",1
125,0,4,8,"(0.0, 0.0, 0.011295984491265634, 0.0, 0.024549697602414516, 0.0, 0.0, 0.0, 0.0522307137775953, 0.28872228831021884)",4
