,round,tube,sp,st,final_pop
120,0,10,1,"(0.023704183684320774, 0.0, 0.0, 0.09007764845750801, 0.4811293267473511, 0.0, 0.0, 0.0, 0.14196314812780386, 0.0)",1
121,0,10,1,"(0.00971917568736596, 0.0, 0.0, 0.09007764845750801, 0.23685033699813124, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",1
122,0,10,1,"(0.01423507054326358, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",1364
123,0,10,9,"(0.0155977793813739, 0.15454164483528007, 0.0, 0.1140728688063374, 0.05081840302231248, 0.0, 0.0, 0.19357617023637885, 0.1496420494238784, 0.053973238394523164)",5
124,0,10,10,"(0.06183229356803319, 0.003983248689718548, 0.06832740139210945, 0.0, 0.0809301004749779, 0.0, 0.0, 0.0022730731527826477, 0.0, 0.0)",1
125,0,10,10,"(0.06183229356803319, 0.0036417056041349073, 0.06631803048226233, 0.0, 0.10772597225744233, 0.0, 0.0, 0.0022730731527826477, 0.0, 0.0)",1
126,0,10,10,"(0.06183229356803319, 0.003983248689718548, 0.06832740139210945, 0.0, 0.10772597225744233, 0.0, 0.0, 0.002691396592240132, 0.0, 0.0)",1
127,0,10,10,"(0.06183229356803319, 0.003983248689718548, 0.06832740139210945, 0.0, 0.10772597225744233, 0.0, 0.0, 0.004343650029438016, 0.0, 0.0)",1
128,0,10,10,"(0.06183229356803319, 0.0027832446840474123, 0.06832740139210945, 0.0, 0.10772597225744233, 0.0, 0.0, 0.0022730731527826477, 0.0, 0.0)",1
129,0,10,10,"(0.06183229356803319, 0.003983248689718548, 0.06832740139210945, 0.0, 0.10772597225744233, 0.0, 0.0, 0.0022730731527826477, 0.0, 0.0)",137
130,0,10,14,"(0.04673025695724758, 0.0, 0.2577183450852406, 0.018244661069946114, 0.0, 0.18889778688738396, 0.24855070324529036, 0.0, 0.15836452531861228, 0.0)",5
131,0,11,8,"(0.0, 0.01483206345542233, 0.02852076469392659, 0.0, 0.0, 0.0, 0.0004422468734373667, 0.0, 0.0, 0.0)",5
132,0,11,8,"(0.0, 0.016643627919484913, 0.02852076469392659, 0.0, 0.0, 0.0, 0.00017727872367416847, 0.0, 0.0, 0.0)",1
