,round,tube,sp,st,final_pop
87,0,5,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",492
88,0,5,13,"(0.0, 0.0, 0.11679612853536596, 0.06920069129515957, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.20529791432639513, 0.0)",6
89,0,5,13,"(0.0, 0.0, 0.11679612853536596, 0.07764798556687262, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",1
90,0,5,13,"(0.0, 0.0, 0.09527602160672388, 0.06920069129515957, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.19904838686477824, 0.0)",1
91,0,5,13,"(0.0, 0.0, 0.11679612853536596, 0.06920069129515957, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",161
92,0,5,13,"(0.0, 0.0, 0.11679612853536596, 0.06920069129515957, 0.09172770611919409, 0.06612540925193462, 0.0, 0.0, 0.14899621190854193, 0.0)",1
93,0,5,13,"(0.0, 0.0, 0.11679612853536596, 0.04471617886218898, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.15662944415018556, 0.0)",3
94,0,6,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",349
95,0,6,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09173902283359818, 0.0, 0.04724976656766899, 0.0, 0.0, 0.0)",1
96,0,6,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.07363245983543204, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",1
97,0,6,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09183969657636276, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",1
98,0,6,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.18171852983254733, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",1
99,0,6,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.02851032908159949, 0.0, 0.015198779098349937)",1
100,0,6,11,"(0.0855022522807072, 0.14970886995698662, 0.0, 0.0, 0.0, 0.08768527511244827, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",1
101,0,6,11,"(0.09033430006888621, 0.14956986173357775, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",1
102,0,6,11,"(0.09033430006888621, 0.11876460290667057, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.019813778259718536)",2
103,0,6,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",473
104,0,6,13,"(0.0, 0.0, 0.11679612853536596, 0.06920069129515957, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",157
105,0,6,13,"(0.0, 0.0, 0.11679612853536596, 0.05440791058149567, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",4
106,0,6,13,"(0.0, 0.0, 0.11679612853536596, 0.06920069129515957, 0.09172770611919409, 0.037004471730911974, 0.0, 0.0, 0.14899621190854193, 0.0)",1
107,0,7,8,"(0.08732669944409231, 0.0, 0.09886232529533268, 0.09247639241939104, 0.055208278721078606, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",2
108,0,7,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09173902283359818, 0.0, 0.026966244418743533, 0.0, 0.0, 0.0)",1
109,0,7,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",357
110,0,7,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.050319694843666204, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",6
111,0,7,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.07272924670949389, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",1
112,0,7,8,"(0.06478385924927899, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",9
113,0,7,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.020234956755480784)",1
114,0,7,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",392
115,0,7,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.04005414148000753, 0.0, 0.01812760691895582)",1
116,0,7,11,"(0.09033430006888621, 0.12211001998219269, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",3
117,0,7,11,"(0.09033430006888621, 0.1043072356778829, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.007817576865807436)",1
118,0,7,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.07341040730678133, 0.0, 0.01812760691895582)",1
119,0,7,11,"(0.09033430006888621, 0.1540708126841965, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",1
120,0,7,11,"(0.09033430006888621, 0.15678050246509959, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",4
121,0,7,13,"(0.0, 0.0, 0.11679612853536596, 0.14189899333138983, 0.12871775274614242, 0.07489992963210028, 0.0, 0.0, 0.05614424462055535, 0.0)",19
122,0,7,13,"(0.0, 0.0, 0.1207794040341859, 0.06920069129515957, 0.09172770611919409, 0.03879035249911011, 0.0, 0.0, 0.14899621190854193, 0.0)",1
123,0,7,13,"(0.0, 0.0, 0.11679612853536596, 0.06920069129515957, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",115
124,0,7,13,"(0.0, 0.0, 0.11679612853536596, 0.06920069129515957, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.10811370107278372, 0.0)",1
125,0,8,8,"(0.08581533208581728, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",1
126,0,8,8,"(0.09369258606422372, 0.0, 0.04317048086954129, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",1
127,0,8,8,"(0.04518056694533474, 0.0, 0.09860300200557191, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",1
128,0,8,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.030840225370949007, 0.0, 0.04616863889844949, 0.0, 0.0, 0.0)",3
129,0,8,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",400
130,0,8,8,"(0.09529738287095844, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",1
131,0,8,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",364
132,0,8,11,"(0.08366534236967808, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",1
133,0,8,11,"(0.09033430006888621, 0.0971642339250816, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.16867999044602744, 0.0, 0.01812760691895582)",6
134,0,8,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.1377889289790778, 0.0, 0.01812760691895582)",2
135,0,8,11,"(0.09033430006888621, 0.08148548813339034, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",1
136,0,8,11,"(0.06871617732373937, 0.10419854414331178, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",2
137,0,8,13,"(0.0, 0.0, 0.11679612853536596, 0.06920069129515957, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.2778026980155036, 0.0)",2
138,0,8,13,"(0.0, 0.0, 0.11679612853536596, 0.06920069129515957, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",143
139,0,8,13,"(0.0, 0.0, 0.1138566030878002, 0.06920069129515957, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",1
140,0,8,13,"(0.0, 0.0, 0.11679612853536596, 0.06920069129515957, 0.09172770611919409, 0.07500704251632544, 0.0, 0.0, 0.14899621190854193, 0.0)",4
141,0,8,13,"(0.0, 0.0, 0.11679612853536596, 0.06920069129515957, 0.09172770611919409, 0.08825052108094211, 0.0, 0.0, 0.14899621190854193, 0.0)",1
142,0,8,13,"(0.0, 0.0, 0.16643487779980262, 0.06920069129515957, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",1
143,0,8,13,"(0.0, 0.0, 0.11679612853536596, 0.09845372275121014, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",2
144,0,9,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09173902283359818, 0.0, 0.02345575465071271, 0.0, 0.0, 0.0)",4
145,0,9,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.07115309344048945, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",2
146,0,9,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",381
147,0,9,8,"(0.12212366317276112, 0.0, 0.09886232529533268, 0.09247639241939104, 0.16507322420568746, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",1
148,0,9,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09173902283359818, 0.0, 0.02977500419739803, 0.0, 0.0, 0.0)",2
149,0,9,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.0538531609942635, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",9
150,0,9,11,"(0.09033430006888621, 0.15701125327624568, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",1
151,0,9,11,"(0.09033430006888621, 0.33771964683072436, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01799242620955378)",1
152,0,9,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.1976893460217529, 0.0, 0.01812760691895582)",2
153,0,9,11,"(0.09033430006888621, 0.07610602957170572, 0.0, 0.0, 0.0, 0.05747759098534792, 0.0, 0.04916042547381497, 0.0, 0.0352732688905501)",4
154,0,9,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.060563558914250235, 0.0, 0.01812760691895582)",1
155,0,9,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.07381844716310075, 0.0, 0.01812760691895582)",3
156,0,9,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",337
157,0,9,11,"(0.09033430006888621, 0.1544434472200174, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",1
158,0,9,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.03130282695387438, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",1
159,0,9,13,"(0.0, 0.0, 0.11679612853536596, 0.06920069129515957, 0.08640885023551567, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",2
