,round,tube,sp,st,final_pop
83,0,6,8,"(0.2599220601474104, 0.046525949225991035, 0.0, 0.0, 0.07022106556493442, 0.0, 0.08319516954615302, 0.1116381245929446, 0.0, 0.0)",1
84,0,7,3,"(0.10658025739662867, 0.13631318100447085, 0.10626440874649026, 0.17986179034481845, 0.0, 0.13886227364948178, 0.0, 0.24212485066826203, 0.0, 0.0)",1
85,0,7,6,"(0.03426039533065134, 0.011572197494497125, 0.0, 0.030181603934096246, 0.005422768956954101, 0.0, 0.019795240631728064, 0.0, 0.028146417112716555, 0.05874522297052942)",129
86,0,7,6,"(0.03426039533065134, 0.011572197494497125, 0.0, 0.030181603934096246, 0.006563077865367555, 0.0, 0.015263641191350385, 0.0, 0.028146417112716555, 0.05874522297052942)",1
87,0,7,12,"(0.05589117275961022, 0.0, 0.0, 0.38606904502592293, 0.0, 0.21562137735691253, 0.2516707664860597, 0.0, 0.0, 0.0)",4
88,0,7,13,"(0.0, 0.02461978404713738, 0.023035932332134326, 0.0, 0.01810411441758469, 0.022173256981297827, 0.0, 0.0, 0.01089208668844536, 0.00476393156717078)",257
89,0,7,13,"(0.0, 0.02046877278203093, 0.01896957998042907, 0.0, 0.01810411441758469, 0.022173256981297827, 0.0, 0.0, 0.01089208668844536, 0.00476393156717078)",1
90,0,7,13,"(0.0, 0.02461978404713738, 0.023035932332134326, 0.0, 0.008812254355922134, 0.022173256981297827, 0.0, 0.0, 0.01089208668844536, 0.00476393156717078)",1
91,0,7,13,"(0.0, 0.02461978404713738, 0.023035932332134326, 0.0, 0.01810411441758469, 0.022173256981297827, 0.0, 0.0, 0.01089208668844536, 0.008627726732592916)",2
92,0,7,13,"(0.0, 0.02461978404713738, 0.024215154945100847, 0.0, 0.01810411441758469, 0.012260499422584142, 0.0, 0.0, 0.028241553301420304, 0.007156338345040787)",3
93,0,7,13,"(0.0, 0.02461978404713738, 0.023035932332134326, 0.0, 0.01810411441758469, 0.022173256981297827, 0.0, 0.0, 0.01089208668844536, 0.002729529249107273)",2
94,0,7,13,"(0.0, 0.02461978404713738, 0.023035932332134326, 0.0, 0.01810411441758469, 0.022173256981297827, 0.0, 0.0, 0.016016820450664285, 0.00476393156717078)",1
95,0,7,13,"(0.0, 0.02461978404713738, 0.023035932332134326, 0.0, 0.01810411441758469, 0.018731532117868214, 0.0, 0.0, 0.01089208668844536, 0.002579133084043035)",2
96,0,8,7,"(0.0, 0.0, 0.0, 0.0, 0.3818677736561376, 0.16154918232038468, 0.0, 0.0, 0.2477574097883513, 0.0)",1
97,0,8,8,"(0.19235562551390653, 0.046525949225991035, 0.0, 0.0, 0.07022106556493442, 0.0, 0.08319516954615302, 0.1116381245929446, 0.0, 0.0)",48
98,0,8,11,"(0.0, 0.0, 0.09864539577037362, 0.013524077532267094, 0.0, 0.030645849071221472, 0.16773790467281977, 0.08028238650273146, 0.026121609841380632, 0.0)",3
99,0,8,11,"(0.0, 0.0, 0.09864539577037362, 0.01650583712158267, 0.0, 0.030645849071221472, 0.16773790467281977, 0.08028238650273146, 0.026121609841380632, 0.0)",181
100,0,8,13,"(0.0, 0.02461978404713738, 0.023035932332134326, 0.0, 0.014412089724648152, 0.022173256981297827, 0.0, 0.0, 0.01089208668844536, 0.00476393156717078)",21
101,0,8,13,"(0.0, 0.030068273959441165, 0.023035932332134326, 0.0, 0.01810411441758469, 0.022173256981297827, 0.0, 0.0, 0.01089208668844536, 0.00476393156717078)",1
102,0,8,13,"(0.0, 0.02461978404713738, 0.023035932332134326, 0.0, 0.01810411441758469, 0.022173256981297827, 0.0, 0.0, 0.01089208668844536, 0.008212018026441366)",1
103,0,8,13,"(0.0, 0.02461978404713738, 0.023035932332134326, 0.0, 0.015809994977065756, 0.022173256981297827, 0.0, 0.0, 0.01089208668844536, 0.00476393156717078)",1
104,0,8,13,"(0.0, 0.02461978404713738, 0.023035932332134326, 0.0, 0.01810411441758469, 0.022173256981297827, 0.0, 0.0, 0.01089208668844536, 0.00476393156717078)",381
105,0,8,13,"(0.0, 0.02461978404713738, 0.023035932332134326, 0.0, 0.01810411441758469, 0.022173256981297827, 0.0, 0.0, 0.005347093365034146, 0.00476393156717078)",1
106,0,8,13,"(0.0, 0.012581815142312647, 0.023035932332134326, 0.0, 0.01810411441758469, 0.022173256981297827, 0.0, 0.0, 0.01089208668844536, 0.00476393156717078)",2
107,0,9,4,"(0.18133528319020414, 0.03459178595702372, 0.27515118758613866, 0.2245834099047765, 0.008517090718657762, 0.0, 0.0, 0.0, 0.0, 0.17724391245611096)",9
108,0,9,6,"(0.03426039533065134, 0.011572197494497125, 0.0, 0.030181603934096246, 0.005422768956954101, 0.0, 0.019795240631728064, 0.0, 0.028146417112716555, 0.05874522297052942)",236
109,0,9,6,"(0.03426039533065134, 0.02016500483575846, 0.0, 0.030181603934096246, 0.005422768956954101, 0.0, 0.019795240631728064, 0.0, 0.028146417112716555, 0.05874522297052942)",1
110,0,9,6,"(0.05048511317108656, 0.011572197494497125, 0.0, 0.030181603934096246, 0.005422768956954101, 0.0, 0.019795240631728064, 0.0, 0.02401159601046588, 0.029064205390569673)",11
111,0,9,6,"(0.03426039533065134, 0.011572197494497125, 0.0, 0.030181603934096246, 0.005422768956954101, 0.0, 0.019795240631728064, 0.0, 0.028664893054029913, 0.05874522297052942)",2
112,0,9,6,"(0.03426039533065134, 0.011572197494497125, 0.0, 0.030181603934096246, 0.0048007759439916455, 0.0, 0.019795240631728064, 0.0, 0.028146417112716555, 0.05874522297052942)",1
113,0,9,12,"(0.05589117275961022, 0.0, 0.0, 0.38606904502592293, 0.0, 0.21562137735691253, 0.2516707664860597, 0.0, 0.0, 0.0)",1
114,0,9,14,"(0.0, 0.017248724174617657, 0.0, 0.0, 0.0, 0.0, 0.1096916615896246, 0.07609886892949795, 0.03621416498310447, 0.0)",182
115,0,9,14,"(0.0, 0.017248724174617657, 0.0, 0.0, 0.0, 0.0, 0.1096916615896246, 0.07609886892949795, 0.0733819766099261, 0.0)",4
116,0,9,14,"(0.0, 0.017248724174617657, 0.0, 0.0, 0.0, 0.0, 0.08746152772396606, 0.07609886892949795, 0.03621416498310447, 0.0)",4
117,0,9,14,"(0.0, 0.017248724174617657, 0.0, 0.0, 0.0, 0.0, 0.1096916615896246, 0.07609886892949795, 0.04746970836654948, 0.0)",2
118,0,10,0,"(0.07400250769571483, 0.0, 0.0, 0.0, 0.0, 0.01733711780415263, 0.08380840797570269, 0.0691048466035698, 0.0, 0.0)",4
119,0,10,0,"(0.07400250769571483, 0.0, 0.0, 0.0, 0.0, 0.017098731129875016, 0.08380840797570269, 0.10172005713022227, 0.0, 0.0)",1
120,0,10,0,"(0.07400250769571483, 0.0, 0.0, 0.0, 0.0, 0.017098731129875016, 0.08380840797570269, 0.0691048466035698, 0.0, 0.0)",166
121,0,10,2,"(0.0, 0.15023190704395425, 0.0, 0.4040474799620638, 0.0, 0.0, 0.2640465549621217, 0.0, 0.0, 0.0)",3
122,0,10,4,"(0.18133528319020414, 0.03459178595702372, 0.27515118758613866, 0.2245834099047765, 0.008517090718657762, 0.0, 0.0, 0.0, 0.0, 0.17724391245611096)",15
123,0,10,11,"(0.0, 0.0, 0.09864539577037362, 0.01650583712158267, 0.0, 0.030645849071221472, 0.16773790467281977, 0.11138566524103541, 0.026121609841380632, 0.0)",1
124,0,10,11,"(0.0, 0.0, 0.09864539577037362, 0.01650583712158267, 0.0, 0.030645849071221472, 0.16773790467281977, 0.08028238650273146, 0.026121609841380632, 0.0)",278
125,0,10,11,"(0.0, 0.0, 0.06961622732049762, 0.01650583712158267, 0.0, 0.030645849071221472, 0.16773790467281977, 0.08028238650273146, 0.026121609841380632, 0.0)",1
126,0,10,11,"(0.0, 0.0, 0.09864539577037362, 0.01650583712158267, 0.0, 0.030645849071221472, 0.16773790467281977, 0.08028238650273146, 0.03305646081881298, 0.0)",2
127,0,10,11,"(0.0, 0.0, 0.09864539577037362, 0.015915510020305727, 0.0, 0.030645849071221472, 0.16773790467281977, 0.08028238650273146, 0.026121609841380632, 0.0)",5
128,0,10,11,"(0.0, 0.0, 0.09864539577037362, 0.01650583712158267, 0.0, 0.02824107385341581, 0.16773790467281977, 0.08028238650273146, 0.026121609841380632, 0.0)",1
129,0,10,11,"(0.0, 0.0, 0.09864539577037362, 0.01650583712158267, 0.0, 0.030645849071221472, 0.16773790467281977, 0.17099983015593034, 0.026121609841380632, 0.0)",1
130,0,10,11,"(0.0, 0.0, 0.09864539577037362, 0.01650583712158267, 0.0, 0.07478943717213336, 0.16773790467281977, 0.08028238650273146, 0.026121609841380632, 0.0)",2
131,0,10,11,"(0.0, 0.0, 0.09864539577037362, 0.029337629756463493, 0.0, 0.030645849071221472, 0.16773790467281977, 0.08028238650273146, 0.026121609841380632, 0.0)",1
132,0,11,2,"(0.0, 0.15023190704395425, 0.0, 0.4040474799620638, 0.0, 0.0, 0.2640465549621217, 0.0, 0.0, 0.0)",5
133,0,11,4,"(0.18133528319020414, 0.03459178595702372, 0.27515118758613866, 0.2245834099047765, 0.008517090718657762, 0.0, 0.0, 0.0, 0.0, 0.17724391245611096)",15
134,0,11,5,"(0.13228796752154168, 0.07907080207865028, 0.0534257482445832, 0.17977192363034628, 0.0, 0.0, 0.15570506977525858, 0.0, 0.0, 0.1654301297616405)",13
135,0,11,6,"(0.030263215617927733, 0.011572197494497125, 0.0, 0.030181603934096246, 0.0064026987802205115, 0.0, 0.019795240631728064, 0.0, 0.028146417112716555, 0.05983812672362818)",10
136,0,11,6,"(0.04047482522756974, 0.011572197494497125, 0.0, 0.030181603934096246, 0.005422768956954101, 0.0, 0.032543450296712746, 0.0, 0.028146417112716555, 0.05874522297052942)",3
137,0,11,6,"(0.03426039533065134, 0.011572197494497125, 0.0, 0.030181603934096246, 0.005422768956954101, 0.0, 0.019795240631728064, 0.0, 0.0402261282867655, 0.05874522297052942)",1
138,0,11,6,"(0.03625164451575086, 0.011572197494497125, 0.0, 0.030181603934096246, 0.005422768956954101, 0.0, 0.06181744262679739, 0.0, 0.028146417112716555, 0.05874522297052942)",1
139,0,11,6,"(0.03426039533065134, 0.011572197494497125, 0.0, 0.030181603934096246, 0.005422768956954101, 0.0, 0.019795240631728064, 0.0, 0.028146417112716555, 0.05874522297052942)",209
140,0,12,1,"(0.0, 0.0, 0.09106226097188705, 0.0, 0.0, 0.07577624578880941, 0.0, 0.0, 0.0, 0.09210370756354205)",1
141,0,12,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.09389497089725064, 0.0, 0.0, 0.0, 0.09965925051150999)",1
142,0,12,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.10557080398315408, 0.0, 0.0, 0.0, 0.035609607476382366)",7
143,0,12,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.07577624578880941, 0.0, 0.0, 0.0, 0.09965925051150999)",204
144,0,12,1,"(0.0, 0.0, 0.10922905711608999, 0.0, 0.0, 0.07577624578880941, 0.0, 0.0, 0.0, 0.13982230156164577)",2
145,0,12,10,"(0.07734904686468291, 0.03488320833853146, 0.09682940930282144, 0.0017773360538905325, 0.0, 0.06291875767155253, 0.0, 0.10994488928074131, 0.0, 0.0)",2
146,0,12,10,"(0.07734904686468291, 0.06927916245295945, 0.09682940930282144, 0.0017773360538905325, 0.0, 0.06291875767155253, 0.0, 0.10994488928074131, 0.0, 0.0)",56
147,0,12,13,"(0.0, 0.02461978404713738, 0.009531895054189951, 0.0, 0.01810411441758469, 0.022173256981297827, 0.0, 0.0, 0.01089208668844536, 0.00476393156717078)",1
148,0,12,13,"(0.0, 0.02461978404713738, 0.023035932332134326, 0.0, 0.01810411441758469, 0.022173256981297827, 0.0, 0.0, 0.01089208668844536, 0.00476393156717078)",316
149,0,12,13,"(0.0, 0.02461978404713738, 0.023035932332134326, 0.0, 0.03067309130548321, 0.03657044786356052, 0.0, 0.0, 0.01089208668844536, 0.00476393156717078)",30
150,0,12,13,"(0.0, 0.014546098317270216, 0.023035932332134326, 0.0, 0.019153159662516978, 0.022173256981297827, 0.0, 0.0, 0.01089208668844536, 0.00476393156717078)",1
151,0,12,13,"(0.0, 0.02965020863564385, 0.023035932332134326, 0.0, 0.01810411441758469, 0.029961055053292374, 0.0, 0.0, 0.01089208668844536, 0.00476393156717078)",2
152,0,12,13,"(0.0, 0.02461978404713738, 0.023035932332134326, 0.0, 0.01810411441758469, 0.039650895585888746, 0.0, 0.0, 0.01089208668844536, 0.00476393156717078)",1
153,0,12,13,"(0.0, 0.02461978404713738, 0.026069357242345992, 0.0, 0.01810411441758469, 0.022173256981297827, 0.0, 0.0, 0.01089208668844536, 0.00476393156717078)",4
154,0,12,13,"(0.0, 0.02461978404713738, 0.023035932332134326, 0.0, 0.01810411441758469, 0.015890265889516614, 0.0, 0.0, 0.012319898925187504, 0.00622085909265384)",2
155,0,12,13,"(0.0, 0.02461978404713738, 0.023035932332134326, 0.0, 0.020343801888188035, 0.015890265889516614, 0.0, 0.0, 0.012319898925187504, 0.00802110936741835)",1
156,0,12,14,"(0.0, 0.017248724174617657, 0.0, 0.0, 0.0, 0.0, 0.10390413832622063, 0.07609886892949795, 0.03621416498310447, 0.0)",2
157,0,12,14,"(0.0, 0.016688603506724728, 0.0, 0.0, 0.0, 0.0, 0.1096916615896246, 0.07609886892949795, 0.03621416498310447, 0.0)",1
158,0,12,14,"(0.0, 0.017248724174617657, 0.0, 0.0, 0.0, 0.0, 0.1096916615896246, 0.07609886892949795, 0.03621416498310447, 0.0)",96
